Designator,Comment,Description,Footprint,LCSC part,Quantity

"C1","10uF 25V","X5R 25V ±10% 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT","C0805","C15850","1"
"C2","22uF 25V","X5R 25V ±20% 22uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT","C0805","C45783","1"
"C3, C4, C8","1uF 50V","X5R ±10% 50V 1uF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT","C0603","C15849","3"
"C5, C6, C7, C10, C15","0.1uF 50V","X7R 100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT","C0603","C14663","5"
"C9","0.22uF 25V","X7R 25V ±10% 220nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT","C0603","C21120","1"
"C11, C12, C13, C14","10uF 50V","X5R ±10% 50V 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT","C0805","C440198","4"
"D1, D2, D3, D4, D5, D6","1N5819WS","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)","SOD-323","C191023","6"
"D7","PSM712-LF-T7","Bidirectional - 19V 13.3V 12V SOT-23(SOT-23-3) TVS","SOT-23-3","C32677","1"
"D8, D9, D10, D11, D12, D13, D14, D15","YELLOW","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)","LED0603-YELLOW","C72038","8"
"F1, F2","PTC 1.1A","Polymeric 33V 200mO 1.95A 500ms 1812 PTC Resettable Fuses","1812L","C142747","2"
"J2","USB C RCPT","Receptacle USB Type C 16 Pins","USB-TYPE-C-RCPT","C165948","1"
"J4, J7, J9, J16, J18","3P 2.54MM","3 2.54mm Straight 1 Header,Breakaway Through Hole Pin Header & Female Header","HDR-M-3P-2.54MM","C49257","5"
"OC1, OC2","EL3H7(B)(TA)-G","1 3750Vrms TransistorOptocouplers DC SOP-4_P1.27 Optocouplers - Phototransistor Output","SSOP-4","C32565","2"
"PS1","HLK-PM12","220VAC to 12VDC Power Module 3W","HLK-PM12","C209905","1"
"Q1, Q2","2N7002","2.5V 250uA 0.115A 60V N Channel 7.5O 500mA,10V 0.2W SOT-23(SOT-23-3) MOSFETs","SOT-23-3","C8545","2"
"Q3, Q6","AO3401A","1.4W 0.044O 4.3A,10V 30V 1.3V 250uA P Channel 4A SOT-23-3L MOSFETs","SOT-23-3","C15127","2"
"Q4, Q5, Q7, Q8, Q9, Q10","AO3400A","1.4W 0.0265O 5.7A,10V 30V 5.7A N Channel 1.5V 250uA SOT-23-3L MOSFETs","SOT-23-3","C20917","6"
"R1, R2, R21, R25, R33","10k 1%","±1% ±100ppm/? 10kO 0.1W 0603 Chip Resistor - Surface Mount","R0603","C25804","5"
"R3, R6","4.7k 1%","±1% 4.7kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount","R0603","C23162","2"
"R4, R7","82 1%","82O ±1% ±200ppm/? 0.1W 0603 Chip Resistor - Surface Mount","R0603","C23255","2"
"R5, R8","1k 1%","±1% ±100ppm/? 1kO 0.1W 0603 Chip Resistor - Surface Mount","R0603","C21190","2"
"R9, R11, R14, R16","510 1%","510O ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount","R0603","C23193","4"
"R10, R15","51 1%","±1% ±200ppm/? 0.1W 51O 0603 Chip Resistor - Surface Mount","R0603","C23197","2"
"R12, R13, R17, R18, R27, R28, R34, R35, R36, R37","1.5k 1%","1.5kO ±1% ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount","R0603","C22843","10"
"R19, R20, R22, R23, R24, R26","4.7k 1%","0.25W ±1% 4.7kO ±100ppm/? 1206 Chip Resistor - Surface Mount","R1206","C17936","6"
"R29","150m 1%","±1% 0.15O ±50ppm/? 2W 2512 Current Sense Resistors/Shunt Resistors","R2512","C252673","1"
"R30, R32","10 1%","±1% ±400ppm/? 10O 0.1W 0603 Chip Resistor - Surface Mount","R0603","C22859","2"
"R31","120 1%","±1% ±100ppm/? 120O 0.1W 0603 Chip Resistor - Surface Mount","R0603","C22787","1"
"R38, R39","2.2k 1%","±1% 2.2kO ±100ppm/? 0.1W 0603 Chip Resistor - Surface Mount","R0603","C4190","2"
"SW1","SPST","Top Actuated 50mA @ 12VDC Round Button 160gf SPST SMD Tactile Switches","SW-TS-1187A-B-A-B","C318884","1"
"U1","K78L03-500R3","36V 500mA 3.3V 1 SIP Power Modules","K78LXX-500R3","C115818","1"
"U2","XC6206P332MR","6V 680mV @ 100mA Fixed 3.3V SOT-23-3L Linear Voltage Regulators (LDO)","SOT-23-3","C5446","1"
"U3","CH340C","USB 2.0 Transceiver 2Mbps SOP-16_150mil USB ICs ROHS","SOP-16","C84681","1"
"U4","ESP32-WROVER-IE 16MB","RX TXRX MOD WIFI EXT IPEX SMD","ESP32-WROVER-IE","C701352","1"
"U5","ADS1115","2,4 Differential, Single Ended 16 860 VSSOP-10 Analog To Digital Converters (ADCs)","MSOP-10","C37593","1"
"U6, U8","LM358DR2G","1MHz 2 General Purpose 1.5mA 0.6 V/us 3V ~ 32V, ±1.5V ~ 16V SOIC-8_150mil General Purpose Amplifiers","SOIC-8","C7950","2"
"U7","DAC7563","VSSOP-10 Digital To Analog Converters (DACs)","VSSOP-10","C601656","1"
"U9","DRV8870","HSOP-8 Motor Driver ICs","HSOP-8","C86590","1"
"U10","SN65HVD75DR","Transceiver 1/1 RS422, RS485 20Mbps SOIC-8_150mil RS-485/RS-422 ICs","SOIC-8","C57928","1"
